DaysSinceLastElection,NextElection,TransactionAmountAdj
907,2000,-1430
962,2000,178.75
955,2000,178.75
1101,2000,1430
1052,2000,71.5
878,2000,1430
1128,2000,1430
999,2000,1430
1063,2000,1430
939,2000,1430
951,2000,1430
1039,2000,1430
990,2000,1430
1077,2000,1430
798,2000,1430
1015,2000,1430
888,2000,7150
1130,2000,1430
1016,2000,1430
891,2000,1430
965,2000,1430
864,2000,1430
955,2000,1430
1009,2000,1430
976,2000,1430
968,2000,1430
932,2000,1430
981,2000,1430
981,2000,1430
1099,2000,1430
974,2000,1284.14
983,2000,1430
1002,2000,1430
1050,2000,1430
1025,2000,1430
960,2000,1430
940,2000,191.62
871,2000,1430
814,2000,2263495.52
791,2000,435962.67
841,2000,107250
1078,2000,1430
968,2000,1430
968,2000,1430
1025,2000,314.6
1109,2000,767.91
981,2000,1430
951,2000,1430
1044,2000,1430
1001,2000,1430
918,2000,715
846,2000,85800
948,2000,1430
846,2000,57200
1060,2000,1430
1060,2000,1430
855,2000,2145
961,2000,1430
1147,2000,1430
877,2000,1430
907,2000,1430
941,2000,1430
1127,2000,1059.63
1059,2000,1430
966,2000,1430
959,2000,1430
965,2000,1430
981,2000,1430
790,2000,7150
870,2000,107250
981,2000,1430
967,2000,715
1043,2000,1430
1050,2000,2860
1016,2000,1430
960,2000,1430
1127,2000,1430
1101,2000,1430
980,2000,1430
980,2000,1430
1067,2000,1430
1060,2000,1430
941,2000,1430
1072,2000,1430
980,2000,1430
871,2000,1430
1014,2000,1430
968,2000,1430
959,2000,1430
871,2000,1430
938,2000,1430
1120,2000,1430
989,2000,1430
1151,2000,1430
973,2000,1430
854,2000,1430
994,2000,1430
965,2000,1430
940,2000,1430
876,2000,1430
955,2000,1430
1134,2000,1430
958,2000,1430
957,2000,1430
962,2000,1430
953,2000,1430
986,2000,1430
969,2000,1430
1064,2000,509.08
828,2000,286
828,2000,715
944,2000,1430
870,2000,2860
980,2000,-2145
1052,2000,1430
1127,2000,1430
1130,2000,4290
1044,2000,1430
1039,2000,1430
881,2000,1430
881,2000,1430
982,2000,1430
1059,2000,2860
818,2000,7150
818,2000,7150
932,2000,7150
1091,2000,1430
1107,2000,7150
1044,2000,-1430
1102,2000,1430
959,2000,1430
1028,2000,4290
882,2000,1430
938,2000,4290
1038,2000,-1430
1059,2000,2860
1060,2000,283.14
947,2000,1430
925,2000,572
947,2000,1430
925,2000,572
1004,2000,7150
875,2000,7150
974,2000,1430
923,2000,357.5
1004,2000,1430
1105,2000,1430
1008,2000,143
1059,2000,1430
1057,2000,-7150
1057,2000,4290
827,2000,2860
871,2000,7150
871,2000,7150
1049,2000,2860
1045,2000,715
990,2000,7150
962,2000,715
987,2000,-2860
968,2000,1430
979,2000,2860
952,2000,429
952,2000,1072.5
952,2000,715
869,2000,7150
892,2000,7150
905,2000,-715
927,2000,7150
960,2000,1430
1063,2000,7150
983,2000,1430
875,2000,1430
874,2000,1430
958,2000,-7150
1059,2000,7150
917,2000,1887.6
1051,2000,4290
938,2000,1430
864,2000,7150
1018,2000,715
1044,2000,7150
1149,2000,-7150
1051,2000,7150
824,2000,87.23
832,2000,52.91
838,2000,52.91
975,2000,-233.09
1018,2000,1430
1135,2000,214.5
1059,2000,1430
934,2000,7150
1052,2000,1430
981,2000,3575
990,2000,1430
1000,2000,2491.06
1016,2000,7150
930,2000,357.5
1085,2000,715
1084,2000,2860
1025,2000,182137.67
1025,2000,196184.56
1050,2000,1430
1017,2000,4290
1006,2000,2860
1018,2000,715
1004,2000,1430
1058,2000,1430
1067,2000,7150
994,2000,1430
1015,2000,50.05
1024,2000,85.8
1016,2000,514.8
854,2000,7150
958,2000,7150
1044,2000,1430
981,2000,572
906,2000,7150
906,2000,7150
966,2000,7150
1112,2000,-5720
1129,2000,715
938,2000,1072.5
961,2000,1430
916,2000,7150
1022,2000,-194.48
958,2000,7150
995,2000,2860
1014,2000,3575
1085,2000,1430
1114,2000,1430
1101,2000,347.49
1119,2000,143
1129,2000,50.05
1071,2000,1430
1079,2000,2468.18
1051,2000,5720
1136,2000,989.56
1094,2000,4085.51
1114,2000,3736.59
1114,2000,572
1114,2000,1278.42
1136,2000,570.57
1134,2000,17.16
1119,2000,1141.14
1079,2000,1123.98
1017,2000,5720
1137,2000,1430
1119,2000,1430
1108,2000,7150
1049,2000,143
1101,2000,7150
1128,2000,1430
1121,2000,3575
1151,2000,-1430
1121,2000,3575
1045,2000,1430
1045,2000,1430
968,2000,7150
871,2000,2860
930,2000,2860
927,2000,7150
947,2000,1430
925,2000,357.5
962,2000,1430
1072,2000,1430
1088,2000,1430
876,2000,1430
878,2000,1430
958,2000,1430
999,2000,1430
968,2000,1430
1016,2000,7150
988,2000,-715
860,2000,1430
982,2000,1430
1120,2000,7150
1092,2000,7150
1037,2000,1430
1029,2000,2860
1029,2000,2860
1001,2000,3575
