NextElection,Month,Contribution
11/4/1980,11/1/1978,1825
11/4/1980,1/1/1979,26318.72
11/4/1980,2/1/1979,29093.6
11/4/1980,3/1/1979,64005.92
11/4/1980,4/1/1979,87566.16
11/4/1980,5/1/1979,229455.68
11/4/1980,6/1/1979,219202.4
11/4/1980,7/1/1979,124735.12
11/4/1980,8/1/1979,85958.96
11/4/1980,9/1/1979,413506.32
11/4/1980,10/1/1979,524645.84
11/4/1980,11/1/1979,797463.12
11/4/1980,12/1/1979,848132.56
11/4/1980,1/1/1980,942131.33
11/4/1980,2/1/1980,1601242.07
11/4/1980,3/1/1980,1904044.71
11/4/1980,4/1/1980,2071566.45
11/4/1980,5/1/1980,2336264.44
11/4/1980,6/1/1980,1795013.68
11/4/1980,7/1/1980,3437998.91
11/4/1980,8/1/1980,4947443.02
11/4/1980,9/1/1980,10280888.89
11/4/1980,10/1/1980,36212425.39
11/4/1980,11/1/1980,721563.64
11/6/1984,11/1/1980,5554851.66
11/6/1984,12/1/1980,2649586.68
11/6/1984,1/1/1981,498460.24
11/6/1984,2/1/1981,35920.2
11/6/1984,3/1/1981,14915.66
11/6/1984,4/1/1981,35836.36
11/6/1984,5/1/1981,119485.1
11/6/1984,6/1/1981,5436.5
11/6/1984,7/1/1981,18182.8
11/6/1984,8/1/1981,8580.5
11/6/1984,9/1/1981,6922.04
11/6/1984,10/1/1981,5633
11/6/1984,11/1/1981,6288
11/6/1984,12/1/1981,5271.44
11/6/1984,1/1/1982,1852.5
11/6/1984,2/1/1982,2840.5
11/6/1984,3/1/1982,5957.64
11/6/1984,4/1/1982,15684.5
11/6/1984,6/1/1982,-6229.34
11/6/1984,7/1/1982,151349.25
11/6/1984,8/1/1982,21162.96
11/6/1984,9/1/1982,115783.72
11/6/1984,10/1/1982,40384.5
11/6/1984,11/1/1982,27787.5
11/6/1984,12/1/1982,104481
11/6/1984,1/1/1983,192987.72
11/6/1984,2/1/1983,150280.81
11/6/1984,3/1/1983,166322.49
11/6/1984,4/1/1983,233252.05
11/6/1984,5/1/1983,160366.61
11/6/1984,6/1/1983,30195.26
11/6/1984,7/1/1983,123197.33
11/6/1984,8/1/1983,96532.1
11/6/1984,9/1/1983,118823.63
11/6/1984,10/1/1983,320243.27
11/6/1984,11/1/1983,490172.27
11/6/1984,12/1/1983,646731.61
11/6/1984,1/1/1984,610571.25
11/6/1984,2/1/1984,2022248.62
11/6/1984,3/1/1984,5246580.07
11/6/1984,4/1/1984,3459585.44
11/6/1984,5/1/1984,3324280.79
11/6/1984,6/1/1984,4464348.13
11/6/1984,7/1/1984,5838380.19
11/6/1984,8/1/1984,10111071.35
11/6/1984,9/1/1984,8773924.32
11/6/1984,10/1/1984,25442905.31
11/6/1984,11/1/1984,2617840.98
11/8/1988,11/1/1984,3003751.78
11/8/1988,12/1/1984,1526784.22
11/8/1988,1/1/1985,891874.23
11/8/1988,2/1/1985,336136.58
11/8/1988,3/1/1985,246103.39
11/8/1988,4/1/1985,116179.7
11/8/1988,5/1/1985,141669.84
11/8/1988,6/1/1985,44182.32
11/8/1988,7/1/1985,570367.85
11/8/1988,8/1/1985,77003.03
11/8/1988,9/1/1985,63541.92
11/8/1988,10/1/1985,23121.02
11/8/1988,11/1/1985,25242.62
11/8/1988,12/1/1985,214871.67
11/8/1988,1/1/1986,66388.98
11/8/1988,2/1/1986,19399.8
11/8/1988,3/1/1986,37801.4
11/8/1988,4/1/1986,13280.4
11/8/1988,5/1/1986,19579.91
11/8/1988,6/1/1986,29926.47
11/8/1988,7/1/1986,18879
11/8/1988,8/1/1986,18045.72
11/8/1988,9/1/1986,38237.57
11/8/1988,10/1/1986,13085.1
11/8/1988,11/1/1986,210001.75
11/8/1988,12/1/1986,5425
11/8/1988,1/1/1987,29565.14
11/8/1988,2/1/1987,164503.9
11/8/1988,3/1/1987,195019.99
11/8/1988,4/1/1987,978953.91
11/8/1988,5/1/1987,480915.27
11/8/1988,6/1/1987,630983.54
11/8/1988,7/1/1987,388917.65
11/8/1988,8/1/1987,343134.11
11/8/1988,9/1/1987,410394.49
11/8/1988,10/1/1987,528099.11
11/8/1988,11/1/1987,572996.49
11/8/1988,12/1/1987,656732.34
11/8/1988,1/1/1988,626816.49
11/8/1988,2/1/1988,1030476.75
11/8/1988,3/1/1988,1355674.65
11/8/1988,4/1/1988,977354.46
11/8/1988,5/1/1988,1040386.05
11/8/1988,6/1/1988,2168211.12
11/8/1988,7/1/1988,2458969.68
11/8/1988,8/1/1988,10084200.15
11/8/1988,9/1/1988,12928094.88
11/8/1988,10/1/1988,27262136.52
11/8/1988,11/1/1988,4821268.41
11/3/1992,11/1/1988,2971823.19
11/3/1992,12/1/1988,1785808.62
11/3/1992,1/1/1989,378324.48
11/3/1992,2/1/1989,178805.76
11/3/1992,3/1/1989,102322.56
11/3/1992,4/1/1989,18024.96
11/3/1992,5/1/1989,36483.84
11/3/1992,6/1/1989,67526.4
11/3/1992,7/1/1989,124335.36
11/3/1992,8/1/1989,1653.12
11/3/1992,9/1/1989,38386.56
11/3/1992,10/1/1989,26722.56
11/3/1992,11/1/1989,8985.6
11/3/1992,12/1/1989,4425.6
11/3/1992,1/1/1990,236960.36
11/3/1992,2/1/1990,61135.62
11/3/1992,3/1/1990,24173.24
11/3/1992,4/1/1990,31948.28
11/3/1992,5/1/1990,27862.38
11/3/1992,6/1/1990,41164.76
11/3/1992,7/1/1990,1820
11/3/1992,8/1/1990,4184.18
11/3/1992,9/1/1990,11748.1
11/3/1992,10/1/1990,1607.06
11/3/1992,11/1/1990,126886.76
11/3/1992,12/1/1990,4550
11/3/1992,1/1/1991,5118.75
11/3/1992,2/1/1991,0
11/3/1992,3/1/1991,3675
11/3/1992,4/1/1991,13128.5
11/3/1992,5/1/1991,26582.5
11/3/1992,6/1/1991,84122.5
11/3/1992,7/1/1991,14330.75
11/3/1992,8/1/1991,90569.5
11/3/1992,9/1/1991,128273.25
11/3/1992,10/1/1991,132223
11/3/1992,11/1/1991,217103.25
11/3/1992,12/1/1991,129634.75
11/3/1992,1/1/1992,99764.5
11/3/1992,2/1/1992,381991.7
11/3/1992,3/1/1992,1457925.1
11/3/1992,4/1/1992,888025.6
11/3/1992,5/1/1992,765884
11/3/1992,6/1/1992,1355268.9
11/3/1992,7/1/1992,7608028.7
11/3/1992,8/1/1992,7839340.9
11/3/1992,9/1/1992,2825743.4
11/3/1992,10/1/1992,26476449.4
11/3/1992,11/1/1992,640044.9
11/5/1996,11/1/1992,1373474.2
11/5/1996,12/1/1992,1717963.9
11/5/1996,1/1/1993,21628.2
11/5/1996,2/1/1993,94647.3
11/5/1996,3/1/1993,67461.9
11/5/1996,4/1/1993,3460.05
11/5/1996,5/1/1993,17889.3
11/5/1996,6/1/1993,-314570.85
11/5/1996,7/1/1993,3229.05
11/5/1996,8/1/1993,-135656.4
11/5/1996,9/1/1993,-94168.8
11/5/1996,10/1/1993,9570
11/5/1996,11/1/1993,21450
11/5/1996,12/1/1993,-183760.5
11/5/1996,1/1/1994,4292.26
11/5/1996,2/1/1994,24150
11/5/1996,3/1/1994,58319.03
11/5/1996,4/1/1994,-184721.74
11/5/1996,5/1/1994,21735
11/5/1996,6/1/1994,14490
11/5/1996,7/1/1994,7647.5
11/5/1996,8/1/1994,1344.35
11/5/1996,9/1/1994,33692.47
11/5/1996,10/1/1994,10465
11/5/1996,11/1/1994,-24805.27
11/5/1996,12/1/1994,64226.12
11/5/1996,1/1/1995,61854
11/5/1996,2/1/1995,256011.6
11/5/1996,3/1/1995,432800.16
11/5/1996,4/1/1995,411081.84
11/5/1996,5/1/1995,323813.88
11/5/1996,6/1/1995,771345.12
11/5/1996,7/1/1995,137523.36
11/5/1996,8/1/1995,162385.08
11/5/1996,9/1/1995,195829.92
11/5/1996,10/1/1995,200031
11/5/1996,11/1/1995,226256.16
11/5/1996,12/1/1995,197789.28
11/5/1996,1/1/1996,212724
11/5/1996,2/1/1996,421043.04
11/5/1996,3/1/1996,143527.52
11/5/1996,4/1/1996,999033.68
11/5/1996,5/1/1996,289804.72
11/5/1996,6/1/1996,876880.4
11/5/1996,7/1/1996,1082747.68
11/5/1996,8/1/1996,10511035.6
11/5/1996,9/1/1996,781743.6
11/5/1996,10/1/1996,17065038.48
