Month,NextElection,Contribution
11/1/1978 0:00,11/4/1980 0:00,1825
1/1/1979 0:00,11/4/1980 0:00,26318.72
2/1/1979 0:00,11/4/1980 0:00,29093.6
3/1/1979 0:00,11/4/1980 0:00,64005.92
4/1/1979 0:00,11/4/1980 0:00,87566.16
5/1/1979 0:00,11/4/1980 0:00,229455.68
6/1/1979 0:00,11/4/1980 0:00,219202.4
7/1/1979 0:00,11/4/1980 0:00,124735.12
8/1/1979 0:00,11/4/1980 0:00,85958.96
9/1/1979 0:00,11/4/1980 0:00,413506.32
10/1/1979 0:00,11/4/1980 0:00,524645.84
11/1/1979 0:00,11/4/1980 0:00,797463.12
12/1/1979 0:00,11/4/1980 0:00,328
12/1/1979 0:00,11/4/1980 0:00,847804.56
1/1/1980 0:00,11/4/1980 0:00,942131.33
2/1/1980 0:00,11/4/1980 0:00,1601242.07
3/1/1980 0:00,11/4/1980 0:00,1904044.71
4/1/1980 0:00,11/4/1980 0:00,2071566.45
5/1/1980 0:00,11/4/1980 0:00,1445
5/1/1980 0:00,11/4/1980 0:00,2334819.44
6/1/1980 0:00,11/4/1980 0:00,-1060.63
6/1/1980 0:00,11/4/1980 0:00,1796074.31
7/1/1980 0:00,11/4/1980 0:00,3437998.91
8/1/1980 0:00,11/4/1980 0:00,2236.86
8/1/1980 0:00,11/4/1980 0:00,4945206.16
9/1/1980 0:00,11/4/1980 0:00,1944.97
9/1/1980 0:00,11/4/1980 0:00,10278943.92
10/1/1980 0:00,11/4/1980 0:00,13230.42
10/1/1980 0:00,11/4/1980 0:00,36199194.97
11/1/1980 0:00,11/4/1980 0:00,7303.03
11/1/1980 0:00,11/4/1980 0:00,721563.64
11/1/1980 0:00,11/4/1980 0:00,5547548.63
12/1/1980 0:00,11/6/1984 0:00,387.26
12/1/1980 0:00,11/6/1984 0:00,2649199.42
1/1/1981 0:00,11/6/1984 0:00,498460.24
2/1/1981 0:00,11/6/1984 0:00,35920.2
3/1/1981 0:00,11/6/1984 0:00,14915.66
4/1/1981 0:00,11/6/1984 0:00,35836.36
5/1/1981 0:00,11/6/1984 0:00,2764.1
5/1/1981 0:00,11/6/1984 0:00,116721
6/1/1981 0:00,11/6/1984 0:00,5436.5
7/1/1981 0:00,11/6/1984 0:00,18182.8
8/1/1981 0:00,11/6/1984 0:00,8580.5
9/1/1981 0:00,11/6/1984 0:00,6922.04
10/1/1981 0:00,11/6/1984 0:00,5633
11/1/1981 0:00,11/6/1984 0:00,2620
11/1/1981 0:00,11/6/1984 0:00,3668
12/1/1981 0:00,11/6/1984 0:00,5271.44
1/1/1982 0:00,11/6/1984 0:00,1852.5
2/1/1982 0:00,11/6/1984 0:00,2840.5
3/1/1982 0:00,11/6/1984 0:00,3206.06
3/1/1982 0:00,11/6/1984 0:00,2751.58
4/1/1982 0:00,11/6/1984 0:00,15684.5
6/1/1982 0:00,11/6/1984 0:00,-6229.34
7/1/1982 0:00,11/6/1984 0:00,-185.25
7/1/1982 0:00,11/6/1984 0:00,151534.5
8/1/1982 0:00,11/6/1984 0:00,617.5
8/1/1982 0:00,11/6/1984 0:00,20545.46
9/1/1982 0:00,11/6/1984 0:00,115783.72
10/1/1982 0:00,11/6/1984 0:00,40384.5
11/1/1982 0:00,11/6/1984 0:00,27787.5
12/1/1982 0:00,11/6/1984 0:00,104481
1/1/1983 0:00,11/6/1984 0:00,192987.72
2/1/1983 0:00,11/6/1984 0:00,150280.81
3/1/1983 0:00,11/6/1984 0:00,166322.49
4/1/1983 0:00,11/6/1984 0:00,233252.05
5/1/1983 0:00,11/6/1984 0:00,160366.61
6/1/1983 0:00,11/6/1984 0:00,30195.26
7/1/1983 0:00,11/6/1984 0:00,123197.33
8/1/1983 0:00,11/6/1984 0:00,96532.1
9/1/1983 0:00,11/6/1984 0:00,118823.63
10/1/1983 0:00,11/6/1984 0:00,-2.39
10/1/1983 0:00,11/6/1984 0:00,320245.66
11/1/1983 0:00,11/6/1984 0:00,490172.27
12/1/1983 0:00,11/6/1984 0:00,646731.61
1/1/1984 0:00,11/6/1984 0:00,610571.25
2/1/1984 0:00,11/6/1984 0:00,2022248.62
3/1/1984 0:00,11/6/1984 0:00,5246580.07
4/1/1984 0:00,11/6/1984 0:00,-570.21
4/1/1984 0:00,11/6/1984 0:00,3460155.65
5/1/1984 0:00,11/6/1984 0:00,3324280.79
6/1/1984 0:00,11/6/1984 0:00,4464348.13
7/1/1984 0:00,11/6/1984 0:00,4.58
7/1/1984 0:00,11/6/1984 0:00,5838375.61
8/1/1984 0:00,11/6/1984 0:00,10111071.35
9/1/1984 0:00,11/6/1984 0:00,-1268.66
9/1/1984 0:00,11/6/1984 0:00,8775192.98
10/1/1984 0:00,11/6/1984 0:00,7366.93
10/1/1984 0:00,11/6/1984 0:00,25435538.38
11/1/1984 0:00,11/6/1984 0:00,-1767.88
11/1/1984 0:00,11/6/1984 0:00,-700.74
11/1/1984 0:00,11/6/1984 0:00,2619608.86
11/1/1984 0:00,11/6/1984 0:00,3004452.52
12/1/1984 0:00,11/8/1988 0:00,77.86
12/1/1984 0:00,11/8/1988 0:00,1526706.36
1/1/1985 0:00,11/8/1988 0:00,891874.23
2/1/1985 0:00,11/8/1988 0:00,336136.58
3/1/1985 0:00,11/8/1988 0:00,246103.39
4/1/1985 0:00,11/8/1988 0:00,116179.7
5/1/1985 0:00,11/8/1988 0:00,141669.84
6/1/1985 0:00,11/8/1988 0:00,44182.32
7/1/1985 0:00,11/8/1988 0:00,570367.85
8/1/1985 0:00,11/8/1988 0:00,77003.03
9/1/1985 0:00,11/8/1988 0:00,63541.92
10/1/1985 0:00,11/8/1988 0:00,23121.02
11/1/1985 0:00,11/8/1988 0:00,25242.62
12/1/1985 0:00,11/8/1988 0:00,214871.67
1/1/1986 0:00,11/8/1988 0:00,66388.98
2/1/1986 0:00,11/8/1988 0:00,19399.8
3/1/1986 0:00,11/8/1988 0:00,37801.4
4/1/1986 0:00,11/8/1988 0:00,13280.4
5/1/1986 0:00,11/8/1988 0:00,542.5
5/1/1986 0:00,11/8/1988 0:00,19037.41
6/1/1986 0:00,11/8/1988 0:00,29926.47
7/1/1986 0:00,11/8/1988 0:00,18879
8/1/1986 0:00,11/8/1988 0:00,18045.72
9/1/1986 0:00,11/8/1988 0:00,262.57
9/1/1986 0:00,11/8/1988 0:00,37975
10/1/1986 0:00,11/8/1988 0:00,13085.1
11/1/1986 0:00,11/8/1988 0:00,210001.75
12/1/1986 0:00,11/8/1988 0:00,5425
1/1/1987 0:00,11/8/1988 0:00,29565.14
2/1/1987 0:00,11/8/1988 0:00,164503.9
3/1/1987 0:00,11/8/1988 0:00,195019.99
4/1/1987 0:00,11/8/1988 0:00,978953.91
5/1/1987 0:00,11/8/1988 0:00,480915.27
6/1/1987 0:00,11/8/1988 0:00,630983.54
7/1/1987 0:00,11/8/1988 0:00,388917.65
8/1/1987 0:00,11/8/1988 0:00,343134.11
9/1/1987 0:00,11/8/1988 0:00,-1776.5
9/1/1987 0:00,11/8/1988 0:00,412170.99
10/1/1987 0:00,11/8/1988 0:00,528099.11
11/1/1987 0:00,11/8/1988 0:00,572996.49
12/1/1987 0:00,11/8/1988 0:00,656732.34
1/1/1988 0:00,11/8/1988 0:00,626816.49
2/1/1988 0:00,11/8/1988 0:00,-301.5
2/1/1988 0:00,11/8/1988 0:00,1030778.25
3/1/1988 0:00,11/8/1988 0:00,1355674.65
4/1/1988 0:00,11/8/1988 0:00,-10050
4/1/1988 0:00,11/8/1988 0:00,987404.46
5/1/1988 0:00,11/8/1988 0:00,-10050
5/1/1988 0:00,11/8/1988 0:00,1050436.05
6/1/1988 0:00,11/8/1988 0:00,2168211.12
7/1/1988 0:00,11/8/1988 0:00,2458969.68
8/1/1988 0:00,11/8/1988 0:00,10084200.15
9/1/1988 0:00,11/8/1988 0:00,12928094.88
10/1/1988 0:00,11/8/1988 0:00,-2010
10/1/1988 0:00,11/8/1988 0:00,27264146.52
11/1/1988 0:00,11/8/1988 0:00,16546.32
11/1/1988 0:00,11/8/1988 0:00,7284.24
11/1/1988 0:00,11/8/1988 0:00,4804722.09
11/1/1988 0:00,11/8/1988 0:00,2964538.95
12/1/1988 0:00,11/3/1992 0:00,1785808.62
1/1/1989 0:00,11/3/1992 0:00,378324.48
2/1/1989 0:00,11/3/1992 0:00,178805.76
3/1/1989 0:00,11/3/1992 0:00,101362.56
3/1/1989 0:00,11/3/1992 0:00,960
4/1/1989 0:00,11/3/1992 0:00,18024.96
5/1/1989 0:00,11/3/1992 0:00,36483.84
6/1/1989 0:00,11/3/1992 0:00,67526.4
7/1/1989 0:00,11/3/1992 0:00,124335.36
8/1/1989 0:00,11/3/1992 0:00,1653.12
9/1/1989 0:00,11/3/1992 0:00,38386.56
10/1/1989 0:00,11/3/1992 0:00,26722.56
11/1/1989 0:00,11/3/1992 0:00,8985.6
12/1/1989 0:00,11/3/1992 0:00,4425.6
1/1/1990 0:00,11/3/1992 0:00,-1820
1/1/1990 0:00,11/3/1992 0:00,238780.36
2/1/1990 0:00,11/3/1992 0:00,61135.62
3/1/1990 0:00,11/3/1992 0:00,24173.24
4/1/1990 0:00,11/3/1992 0:00,31948.28
5/1/1990 0:00,11/3/1992 0:00,27862.38
6/1/1990 0:00,11/3/1992 0:00,41164.76
7/1/1990 0:00,11/3/1992 0:00,1820
8/1/1990 0:00,11/3/1992 0:00,4184.18
9/1/1990 0:00,11/3/1992 0:00,11748.1
10/1/1990 0:00,11/3/1992 0:00,1607.06
11/1/1990 0:00,11/3/1992 0:00,126886.76
12/1/1990 0:00,11/3/1992 0:00,4550
1/1/1991 0:00,11/3/1992 0:00,5118.75
2/1/1991 0:00,11/3/1992 0:00,0
3/1/1991 0:00,11/3/1992 0:00,3675
4/1/1991 0:00,11/3/1992 0:00,13128.5
5/1/1991 0:00,11/3/1992 0:00,26582.5
